plan_id,utility_score
r-l_p3-o_p2-n-s-c_p2,21.26361623032618
r-l_p2-o_p2-n-s-c_p2,22.31402429179578
r-l_p3-o_p1-n-s-c_p2,23.131441001759917
r-l_p2-o_p1-n-s-c_p2,24.17773773592719
r-l_p1-o_p2-n-s-c_p2,24.814502218612564
r-l_p1-o_p1-n-s-c_p2,26.668428720367505
r-l_p3-o_p2-n-s-c_p1,34.60952861602855
r-l_p2-o_p2-n-s-c_p1,35.659936677498145
r-l_p3-o_p1-n-s-c_p1,36.42511710331856
r-l_p2-o_p1-n-s-c_p1,37.471413837485834
r-l_p1-o_p2-n-s-c_p1,38.16041460431492
r-l_p1-o_p1-n-s-c_p1,39.96210482192615
