plan_id,utility_score,cardinality_diff,attributes,rel_entropy
o_p1-c_p2,11.571194521895162,0.005818530458225766,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0]"
o_p2-c_p2,13.327404963138994,0.26700149971193216,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0]"
o_p1-c_p1,18.358901596253716,0.005818530458225766,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment]","[0.0, 0.0, 17.194602975157967, 0.017484026447455146, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0]"
o_p2-c_p1,21.877689912551904,0.26700149971193216,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment]","[0.0, 0.0, 17.194602975157967, 0.017484026447455146, 0.0, 0.0, 0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0]"
