plan_id,utility_score,cardinality_diff,attributes,rel_entropy
o_p1-c_p2-l_p2,12.596157436137673,0.02395431503163078,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 0.7950424145633473, 0.0, 0.0, 0.0, 0.0, 0.002184748701645372, 0.0, 0.0, 0.0]"
o_p1-c_p2-l_p1,13.915888315356234,0.022958501316472178,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 1.4342833487185738, 0.6650307162209137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
o_p2-c_p2-l_p2,15.050109463214163,0.32997528190551695,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7950424145633473, 0.0, 0.0, 0.0, 0.0, 0.002184748701645372, 0.0, 0.0, 0.0]"
o_p1-c_p2-l_p3,16.38770130427586,0.39698484365080133,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1780468864342566, 0.0, 0.0, 0.0, 0.04846174205400319, 0.0, 0.0, 0.0]"
o_p2-c_p2-l_p1,16.773231972879127,0.32929206990676735,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4342833487185738, 0.6650307162209137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
o_p2-c_p2-l_p3,17.042658618540642,0.5860476508142147,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 10.447152121175922, 0.016493815950160636, 0.0, 0.0, 0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1780468864342566, 0.0, 0.0, 0.0, 0.04846174205400319, 0.0, 0.0, 0.0]"
o_p1-c_p1-l_p2,19.124454960327647,0.0039123555022736135,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 17.194602975157967, 0.017484026447455146, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 0.7950424145633473, 0.0, 0.0, 0.0, 0.0, 0.002184748701645372, 0.0, 0.0, 0.0]"
o_p1-c_p1-l_p1,20.452558785220045,0.0049403961985053126,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 17.194602975157967, 0.017484026447455146, 0.0, 0.0, 0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 1.4342833487185738, 0.6650307162209137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
o_p2-c_p1-l_p2,23.679796099249316,0.3108453459405283,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 17.194602975157967, 0.017484026447455146, 0.0, 0.0, 0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7950424145633473, 0.0, 0.0, 0.0, 0.0, 0.002184748701645372, 0.0, 0.0, 0.0]"
o_p2-c_p1-l_p1,25.372962264793358,0.3101395750550276,"[c_custkey, c_nationkey, c_phone, c_acctbal, c_mktsegment, c_comment, o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 17.194602975157967, 0.017484026447455146, 0.0, 0.0, 0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4342833487185738, 0.6650307162209137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
