plan_id,utility_score,cardinality_diff,attributes,rel_entropy
o_p2-l_p3,0.8205885428962405,1.912805234877906,"[o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1780468864342566, 0.0, 0.0, 0.0, 0.04846174205400319, 0.0, 0.0, 0.0]"
o_p1-l_p3,1.315700005993731,0.038339451330886135,"[o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1780468864342566, 0.0, 0.0, 0.0, 0.04846174205400319, 0.0, 0.0, 0.0]"
o_p1-l_p2,1.9106787177038158,0.03963398414640634,"[o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 0.7950424145633473, 0.0, 0.0, 0.0, 0.0, 0.002184748701645372, 0.0, 0.0, 0.0]"
o_p2-l_p2,2.4860340173599704,1.9163873667783866,"[o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7950424145633473, 0.0, 0.0, 0.0, 0.0, 0.002184748701645372, 0.0, 0.0, 0.0]"
o_p1-l_p1,3.2634259287175498,0.03933251760032629,"[o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 0.015493064631670411, 0.0, 1.0251176523959695, 0.0, 0.0, 0.0, 0.0, 1.4342833487185738, 0.6650307162209137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
o_p2-l_p1,6.281666292283814,1.9155716337713464,"[o_orderkey, o_custkey, o_orderdate, o_orderpriority, o_shippriority, o_comment, l_orderkey, l_suppkey, l_quantity, l_extendedprice, l_discount, l_tax, l_returnflag, l_linestatus, l_shipdate, l_commitdate, l_receiptdate, l_shipmode]","[0.0, 0.0, 0.055208986225734835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4342833487185738, 0.6650307162209137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
