"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: configuration"
"de.tub.dima.mascara.EfficiencyModificationMultipleTables.benchmarkModify","avgt",1,20,13.008797,2.262776,"ms/op",join_6
"de.tub.dima.mascara.EfficiencyModificationMultipleTables.benchmarkModify","avgt",1,20,5.587891,1.051775,"ms/op",join_5
"de.tub.dima.mascara.EfficiencyModificationMultipleTables.benchmarkModify","avgt",1,20,5.131905,1.032136,"ms/op",join_4
"de.tub.dima.mascara.EfficiencyModificationMultipleTables.benchmarkModify","avgt",1,20,4.317814,0.955744,"ms/op",join_3
"de.tub.dima.mascara.EfficiencyModificationMultipleTables.benchmarkModify","avgt",1,20,3.300133,0.791221,"ms/op",join_2
"de.tub.dima.mascara.EfficiencyModificationMultipleTables.benchmarkModify","avgt",1,20,2.978708,0.479501,"ms/op",join_1
