"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: configuration"
"de.tub.dima.mascara.EfficiencyOptimizationCombination.benchmarkEstimate","avgt",1,10,214.105190,17.467912,"ms/op",pol_5
"de.tub.dima.mascara.EfficiencyOptimizationCombination.benchmarkEstimate","avgt",1,10,109.899387,6.947928,"ms/op",pol_4
"de.tub.dima.mascara.EfficiencyOptimizationCombination.benchmarkEstimate","avgt",1,10,49.038836,1.900135,"ms/op",pol_3
"de.tub.dima.mascara.EfficiencyOptimizationCombination.benchmarkEstimate","avgt",1,10,16.572194,1.499419,"ms/op",pol_2
"de.tub.dima.mascara.EfficiencyOptimizationCombination.benchmarkEstimate","avgt",1,10,4.434349,0.633299,"ms/op",pol_1
